format,large_non_reasoning,large_reasoning,med_non_reasoning,med_reasoning,small_non_reasoning,small_reasoning,task_type
iso_8601,100.0,100.0,100.0,100.0,100.0,97.14,direct_generation
javascript_date,100.0,100.0,100.0,100.0,100.0,94.29,direct_generation
natural_language,100.0,100.0,100.0,100.0,85.71,94.29,direct_generation
python_datetime,100.0,100.0,100.0,100.0,100.0,100.0,direct_generation
rfc_2822,100.0,100.0,100.0,100.0,100.0,91.43,direct_generation
rfc_3339,100.0,100.0,100.0,100.0,100.0,100.0,direct_generation
unix_epoch,22.86,40.0,22.86,68.57,40.0,71.43,direct_generation
iso_8601,94.29,82.86,91.43,85.71,80.0,80.0,edge_cases
javascript_date,94.29,88.57,94.29,80.0,82.86,77.14,edge_cases
natural_language,82.86,85.71,77.14,88.57,88.57,71.43,edge_cases
python_datetime,82.86,88.57,97.14,97.14,80.0,80.0,edge_cases
rfc_2822,94.29,85.71,80.0,88.57,77.14,74.29,edge_cases
rfc_3339,94.29,85.71,91.43,88.57,80.0,80.0,edge_cases
unix_epoch,8.57,57.14,8.57,71.43,11.43,60.0,edge_cases
iso_8601,83.33,93.33,73.33,90.0,60.0,83.33,extraction_from_passage
javascript_date,90.0,90.0,73.33,83.33,66.67,80.0,extraction_from_passage
natural_language,80.0,90.0,90.0,83.33,66.67,90.0,extraction_from_passage
python_datetime,83.33,90.0,70.0,83.33,63.33,90.0,extraction_from_passage
rfc_2822,83.33,90.0,76.67,80.0,63.33,96.67,extraction_from_passage
rfc_3339,80.0,90.0,76.67,83.33,60.0,93.33,extraction_from_passage
unix_epoch,16.67,53.33,30.0,76.67,16.67,46.67,extraction_from_passage
iso_8601,85.71,91.43,88.57,91.43,97.14,94.29,format_conversion
javascript_date,91.43,97.14,91.43,88.57,91.43,94.29,format_conversion
natural_language,77.14,85.71,65.71,80.0,68.57,68.57,format_conversion
python_datetime,82.86,97.14,82.86,88.57,88.57,94.29,format_conversion
rfc_2822,85.71,91.43,82.86,82.86,94.29,94.29,format_conversion
rfc_3339,88.57,97.14,88.57,88.57,88.57,94.29,format_conversion
unix_epoch,25.71,65.71,22.86,88.57,31.43,77.14,format_conversion
iso_8601,97.14,100.0,77.14,100.0,91.43,91.43,multi_hop_reasoning
javascript_date,82.86,97.14,51.43,100.0,82.86,77.14,multi_hop_reasoning
natural_language,88.57,100.0,68.57,97.14,82.86,65.71,multi_hop_reasoning
python_datetime,97.14,100.0,77.14,100.0,91.43,97.14,multi_hop_reasoning
rfc_2822,91.43,97.14,85.71,97.14,65.71,60.0,multi_hop_reasoning
rfc_3339,97.14,100.0,77.14,100.0,91.43,91.43,multi_hop_reasoning
unix_epoch,0.0,45.71,2.86,62.86,0.0,20.0,multi_hop_reasoning
iso_8601,100.0,100.0,100.0,100.0,100.0,100.0,multiple_choice_validation
javascript_date,96.0,96.0,56.0,76.0,88.0,100.0,multiple_choice_validation
natural_language,96.0,100.0,80.0,100.0,88.0,100.0,multiple_choice_validation
python_datetime,100.0,100.0,96.0,100.0,100.0,100.0,multiple_choice_validation
rfc_2822,96.0,100.0,80.0,88.0,76.0,100.0,multiple_choice_validation
rfc_3339,100.0,100.0,100.0,100.0,100.0,100.0,multiple_choice_validation
unix_epoch,68.0,72.0,48.0,76.0,72.0,92.0,multiple_choice_validation
iso_8601,82.5,90.0,82.5,82.5,87.5,87.5,temporal_arithmetic
javascript_date,82.5,90.0,55.0,87.5,80.0,80.0,temporal_arithmetic
natural_language,80.0,85.0,65.0,87.5,70.0,87.5,temporal_arithmetic
python_datetime,82.5,87.5,80.0,95.0,90.0,90.0,temporal_arithmetic
rfc_2822,72.5,85.0,67.5,95.0,80.0,77.5,temporal_arithmetic
rfc_3339,82.5,87.5,87.5,90.0,87.5,90.0,temporal_arithmetic
unix_epoch,5.0,57.5,5.0,50.0,2.5,27.5,temporal_arithmetic
