count,error_type,format,model_cell
7,arithmetic_error,iso_8601,anthropic_large_nr
8,extraction_error,iso_8601,anthropic_large_nr
2,timezone_error,iso_8601,anthropic_large_nr
5,unknown,iso_8601,anthropic_large_nr
11,arithmetic_error,iso_8601,anthropic_large_r
6,extraction_error,iso_8601,anthropic_large_r
3,timezone_error,iso_8601,anthropic_large_r
16,arithmetic_error,iso_8601,anthropic_med_nr
4,extraction_error,iso_8601,anthropic_med_nr
3,timezone_error,iso_8601,anthropic_med_nr
4,unknown,iso_8601,anthropic_med_nr
9,arithmetic_error,iso_8601,anthropic_med_r
2,extraction_error,iso_8601,anthropic_med_r
2,timezone_error,iso_8601,anthropic_med_r
3,unknown,iso_8601,anthropic_med_r
42,arithmetic_error,iso_8601,anthropic_small_nr
9,extraction_error,iso_8601,anthropic_small_nr
8,timezone_error,iso_8601,anthropic_small_nr
5,unknown,iso_8601,anthropic_small_nr
13,arithmetic_error,iso_8601,anthropic_small_r
11,extraction_error,iso_8601,anthropic_small_r
3,timezone_error,iso_8601,anthropic_small_r
5,unknown,iso_8601,anthropic_small_r
10,arithmetic_error,iso_8601,glm_med_nr
2,extraction_error,iso_8601,glm_med_nr
10,syntax_error,iso_8601,glm_med_nr
3,timezone_error,iso_8601,glm_med_nr
9,arithmetic_error,iso_8601,google_large_nr
6,extraction_error,iso_8601,google_large_nr
1,syntax_error,iso_8601,google_large_nr
3,timezone_error,iso_8601,google_large_nr
11,arithmetic_error,iso_8601,google_large_r
7,extraction_error,iso_8601,google_large_r
3,syntax_error,iso_8601,google_large_r
3,timezone_error,iso_8601,google_large_r
2,unknown,iso_8601,google_large_r
14,arithmetic_error,iso_8601,google_med_nr
4,extraction_error,iso_8601,google_med_nr
4,timezone_error,iso_8601,google_med_nr
2,unknown,iso_8601,google_med_nr
10,arithmetic_error,iso_8601,google_med_r
7,extraction_error,iso_8601,google_med_r
1,instruction_violation,iso_8601,google_med_r
3,timezone_error,iso_8601,google_med_r
2,unknown,iso_8601,google_med_r
12,arithmetic_error,iso_8601,google_small_nr
9,extraction_error,iso_8601,google_small_nr
1,syntax_error,iso_8601,google_small_nr
6,timezone_error,iso_8601,google_small_nr
1,unknown,iso_8601,google_small_nr
12,arithmetic_error,iso_8601,google_small_r
6,extraction_error,iso_8601,google_small_r
3,timezone_error,iso_8601,google_small_r
2,unknown,iso_8601,google_small_r
16,arithmetic_error,iso_8601,openai_large_nr
4,extraction_error,iso_8601,openai_large_nr
4,timezone_error,iso_8601,openai_large_nr
5,unknown,iso_8601,openai_large_nr
8,arithmetic_error,iso_8601,openai_large_r
3,extraction_error,iso_8601,openai_large_r
2,syntax_error,iso_8601,openai_large_r
4,timezone_error,iso_8601,openai_large_r
30,arithmetic_error,iso_8601,openai_med_nr
4,extraction_error,iso_8601,openai_med_nr
9,timezone_error,iso_8601,openai_med_nr
5,unknown,iso_8601,openai_med_nr
12,arithmetic_error,iso_8601,openai_med_nr_chat
1,extraction_error,iso_8601,openai_med_nr_chat
3,timezone_error,iso_8601,openai_med_nr_chat
1,unknown,iso_8601,openai_med_nr_chat
11,arithmetic_error,iso_8601,openai_med_r
2,extraction_error,iso_8601,openai_med_r
3,timezone_error,iso_8601,openai_med_r
10,arithmetic_error,iso_8601,openai_small_nr
5,extraction_error,iso_8601,openai_small_nr
1,syntax_error,iso_8601,openai_small_nr
3,timezone_error,iso_8601,openai_small_nr
12,arithmetic_error,iso_8601,openai_small_r
5,extraction_error,iso_8601,openai_small_r
4,timezone_error,iso_8601,openai_small_r
1,unknown,iso_8601,openai_small_r
5,arithmetic_error,iso_8601,qwen_large_nr
1,extraction_error,iso_8601,qwen_large_nr
35,syntax_error,iso_8601,qwen_large_nr
3,timezone_error,iso_8601,qwen_large_nr
3,arithmetic_error,iso_8601,qwen_small_nr
47,syntax_error,iso_8601,qwen_small_nr
2,timezone_error,iso_8601,qwen_small_nr
1,unknown,iso_8601,qwen_small_nr
7,arithmetic_error,javascript_date,anthropic_large_nr
8,day_of_week_error,javascript_date,anthropic_large_nr
9,extraction_error,javascript_date,anthropic_large_nr
1,timezone_error,javascript_date,anthropic_large_nr
1,unknown,javascript_date,anthropic_large_nr
10,arithmetic_error,javascript_date,anthropic_large_r
3,extraction_error,javascript_date,anthropic_large_r
3,timezone_error,javascript_date,anthropic_large_r
2,unknown,javascript_date,anthropic_large_r
8,arithmetic_error,javascript_date,anthropic_med_nr
26,day_of_week_error,javascript_date,anthropic_med_nr
8,extraction_error,javascript_date,anthropic_med_nr
1,timezone_error,javascript_date,anthropic_med_nr
7,arithmetic_error,javascript_date,anthropic_med_r
4,day_of_week_error,javascript_date,anthropic_med_r
6,extraction_error,javascript_date,anthropic_med_r
1,timezone_error,javascript_date,anthropic_med_r
2,unknown,javascript_date,anthropic_med_r
16,arithmetic_error,javascript_date,anthropic_small_nr
41,day_of_week_error,javascript_date,anthropic_small_nr
13,extraction_error,javascript_date,anthropic_small_nr
1,format_error,javascript_date,anthropic_small_nr
2,timezone_error,javascript_date,anthropic_small_nr
5,unknown,javascript_date,anthropic_small_nr
10,arithmetic_error,javascript_date,anthropic_small_r
11,day_of_week_error,javascript_date,anthropic_small_r
6,extraction_error,javascript_date,anthropic_small_r
4,timezone_error,javascript_date,anthropic_small_r
1,unknown,javascript_date,anthropic_small_r
10,arithmetic_error,javascript_date,glm_med_nr
1,extraction_error,javascript_date,glm_med_nr
2,format_error,javascript_date,glm_med_nr
63,syntax_error,javascript_date,glm_med_nr
10,arithmetic_error,javascript_date,google_large_nr
1,day_of_week_error,javascript_date,google_large_nr
6,extraction_error,javascript_date,google_large_nr
3,timezone_error,javascript_date,google_large_nr
1,unknown,javascript_date,google_large_nr
10,arithmetic_error,javascript_date,google_large_r
6,extraction_error,javascript_date,google_large_r
11,syntax_error,javascript_date,google_large_r
2,timezone_error,javascript_date,google_large_r
11,arithmetic_error,javascript_date,google_med_nr
16,day_of_week_error,javascript_date,google_med_nr
5,extraction_error,javascript_date,google_med_nr
2,timezone_error,javascript_date,google_med_nr
1,unknown,javascript_date,google_med_nr
11,arithmetic_error,javascript_date,google_med_r
1,day_of_week_error,javascript_date,google_med_r
8,extraction_error,javascript_date,google_med_r
1,instruction_violation,javascript_date,google_med_r
2,timezone_error,javascript_date,google_med_r
11,arithmetic_error,javascript_date,google_small_nr
12,day_of_week_error,javascript_date,google_small_nr
8,extraction_error,javascript_date,google_small_nr
1,timezone_error,javascript_date,google_small_nr
2,unknown,javascript_date,google_small_nr
11,arithmetic_error,javascript_date,google_small_r
16,day_of_week_error,javascript_date,google_small_r
5,extraction_error,javascript_date,google_small_r
2,timezone_error,javascript_date,google_small_r
1,unknown,javascript_date,google_small_r
12,arithmetic_error,javascript_date,openai_large_nr
16,day_of_week_error,javascript_date,openai_large_nr
9,extraction_error,javascript_date,openai_large_nr
4,timezone_error,javascript_date,openai_large_nr
3,unknown,javascript_date,openai_large_nr
8,arithmetic_error,javascript_date,openai_large_r
1,extraction_error,javascript_date,openai_large_r
19,syntax_error,javascript_date,openai_large_r
1,timezone_error,javascript_date,openai_large_r
8,arithmetic_error,javascript_date,openai_med_nr
